medical_term,meaning
Lysosomes,"From Greek lysis ""to loosen, dissolve"" and sōma ""body."" Literally means ""dissolving-body,"" referring to their role in breaking down waste materials and cellular debris. They contain hydrolytic enzymes and function as the cell's waste disposal system."
Peroxisomes,"A blend of peroxide (referring to hydrogen peroxide) and Greek sōma ""body."" Literally the ""peroxide-body,"" as they are the site of reactions that generate and then safely break down hydrogen peroxide. They are tiny organelles involved in various metabolic processes, including fatty acid breakdown."
Mitochondria ,"From Greek mitos ""thread"" and chondrion ""small grain"" or ""granule."" Literally means ""thread-granules,"" a name derived from their thread-like or granular appearance under the microscope. They are the ""powerhouses"" of the cell, generating most of the cell's supply of ATP."
Chloroplasts,"From Greek chlōros ""pale green"" and plastos ""molded, formed."" Literally means ""green-forms,"" aptly describing the green-pigmented, formative organelle in plant cells and algae. They are the site of photosynthesis, responsible for converting light energy into chemical energy."
flagella,"The plural of flagellum, from Latin flagellum, meaning ""whip."" The name directly refers to their structure and function as whip-like appendages used for cell motility. They are thin, tail-like structures that allow cells (like sperm or bacteria) to swim."
Mitosis,"From Greek mitos ""thread"" and the suffix -osis ""process."" Literally means ""thread-process,"" referring to the characteristic thread-like appearance of condensed chromosomes during cell division. It is the process of cell division resulting in two genetically identical diploid daughter cells."
Meiosis,"From Greek meioun ""to make smaller"" or ""lessen"" and the suffix -osis ""process."" Literally means ""lessening-process,"" referring to the reduction in the number of chromosomes by half. It is the process of cell division that produces haploid gametes (sperm and egg) for sexual reproduction."
Epidermis,"From Greek epi “upon, on” and derma “skin.” It literally means “upon the skin,” referring to the outer layer. It emphasizes a covering that lies over the deeper dermis."
Squamous epithelium,"Squamous comes from Latin squama “scale,” so it means “scaly” or “scale‑like.” Epithelium derives from Greek epi “upon” and thēlē “nipple,” later generalized to a surface layer. Together it means a surface lining of flat, scale‑like cells."
Keratohyaline,"From Greek keras/kerato- “horn” (used for hard keratin) and hyalos “glass, transparent.” Literally “horn‑like glassy substance.” It refers to the glassy keratin‑related granules in certain skin layers."
Lamina lucida,"Latin lamina “thin plate, layer” and lucida from lucidus “bright, clear, shining.” Literally “clear thin layer.” It describes the transparent zone of the basement membrane."
Lamina densa,"Latin lamina “thin plate, layer” and densa from densus “thick, dense, crowded.” Literally “dense thin layer.” It denotes the compact, electron‑dense part of the basement membrane."
Stratum basale,"Latin stratum “spread out layer” and basale from basis “base, foundation.” Literally “basal layer” or “layer at the base.” It names the deepest germinative layer of the epidermis."
Meissner corpuscles,"“Corpuscle” is from Latin corpusculum, diminutive of corpus “body,” meaning “little body.” Meissner is the surname of the German anatomist who described these structures. The term means “Meissner’s little bodies,” small sensory bodies in the skin."
Pilosebaceous,"From Latin pilus “hair” and sebum “tallow, grease, fat,” plus the adjectival suffix ‑aceous “pertaining to.” Literally “relating to hair and sebum.” It refers to the combined unit of hair follicle and sebaceous gland."
Pacinian corpuscles,"“Corpuscle” again means “little body” from Latin corpusculum < corpus “body.” Pacinian comes from the surname of Italian anatomist Filippo Pacini. The term means “Pacini’s little bodies,” encapsulated pressure receptors in deep tissues."
Levator palpebrae,"From Latin levator “lifter, one that raises” and palpebrae from palpebra “eyelid.” Literally “lifter of the eyelid.” Refers to the muscle that raises the upper eyelid."
Corrugator supercilii,"Latin corrugare “to wrinkle, draw into folds” and supercilium “eyebrow.” Literally “wrinkler of the eyebrow.” Describes the small facial muscle that draws the eyebrows together and produces vertical forehead lines."
Levator anguli (oris),"Latin levator “lifter” and angulus oris “corner of the mouth.” Literally “lifter of the corner (of the mouth).” Names the muscle that elevates the angle of the mouth, as in smiling."
Puncta lacrimalis,"Latin punctum “point, small spot” (plural puncta) and lacrimalis from lacrima “tear.” Literally “little tear points.” Denotes the tiny openings on the eyelid margins that drain tears."
"Bowman’s capsule, stroma","“Capsule” from Latin capsula “little box or case”; named after Sir William Bowman, the anatomist who described it. “Stroma” from Greek stroma “that which is spread out, bed, mattress,” used for supporting tissue. Together, “Bowman’s little case and its supporting tissue.”"
Descemet’s membrane,"“Membrane” from Latin membrana “thin skin, parchment.” “Descemet” comes from French anatomist Jean Descemet, who characterized this corneal layer. So the term means “the thin layer (membrane) described by Descemet.”"
Pars iridica,"Latin pars “part” and iridica from iris “rainbow, colored ring of the eye.” Literally “iris part.” Refers to the portion of a structure (such as the retina or ciliary body) associated with the iris."
Pars ciliaris,"Latin pars “part” and ciliaris from cilium “eyelash; edge of the eyelid,” later extended to “ciliary body.” Literally “ciliary part.” Indicates the segment related to the ciliary body of the eye."
Vitreous humor,"Latin vitreus “glassy, made of glass” and humor “moisture, fluid.” Literally “glassy fluid.” Describes the clear, gel‑like substance filling the space behind the lens of the eye."
Pericardium,From Greek peri “around” and kardia “heart.” Literally “around the heart.” Refers to the sac that surrounds the heart.
Myocardium,From Greek myo “muscle” and kardia “heart.” Literally “heart muscle.” Names the muscular wall of the heart.
Atrium,"From Latin atrium “central hall of a Roman house, main room.” Later applied to the heart’s entrance chambers. Implies an “entrance hall” where blood first arrives."
Ventricle,"From Latin ventriculus “little belly,” diminutive of venter “belly, abdomen.” Literally “small belly” or “small cavity.” Used for the main pumping chambers of the heart and brain cavities."
Aorta,"From Greek aortē, traditionally linked to aeirein “to lift, to raise.” Interpreted as “that which is hung up or lifted.” Used for the main arterial trunk leaving the heart."
Tricuspid,"From Latin tri- “three” and cuspis “point, cusp.” Literally “three-pointed.” Describes a valve with three pointed cusps or leaflets."
Systole,"From Greek systolē “a drawing together, contraction,” from syn “together” and stellein “to send, draw.” Literally “a contracting together.” Refers to the phase when the heart contracts."
Sarcoplasmic reticulum,"Sarco- from Greek sarx/sarkos “flesh,” plasma “something molded, formed,” and Latin reticulum “little net.” Literally “little net of the flesh-forming substance.” Names the network of tubules in muscle cell cytoplasm."
Purkinje,"Eponym from Jan Evangelista Purkyně (Latinized “Purkinje”), the Czech physiologist who described these fibers. The name itself carries no descriptive Latin or Greek meaning in anatomy. It designates the specialized conduction fibers in the heart."
